00 03 3F A0 9C,GM --> DIA: Diagnostic command acknowledged
00 03 3F A2 9E,GM --> DIA: Diagnostic command rejected
3F 23 D0 09 0B 04 C4 1D 00 20 CE 04 CD 1C 00 01 5F D7 BD F6 0D 38 C4 40 27 12 D6 9C 27 0E 13 88 14 03 14 8F 1A,DIA --> LCM: Write coding data, Data="0B 04 C4 1D 00 20 CE 04 CD 1C 00 01 5F D7 BD F6 0D 38 C4 40 27 12 D6 9C 27 0E 13 88 14 03 14 8F"    [         _ 8@' '     ]
3F 23 D0 09 0B 05 50 7C 05 52 F6 05 50 27 12 7A 05 50 CE 04 C4 1D 00 10 CE 04 CD 1C 00 01 5F D7 BC F6 01 BC 6F,DIA --> LCM: Write coding data, Data="0B 05 50 7C 05 52 F6 05 50 27 12 7A 05 50 CE 04 C4 1D 00 10 CE 04 CD 1C 00 01 5F D7 BC F6 01 BC"    [  P| R P' z P        _ ]
3F 23 D0 09 0C 08 13 88 11 03 14 8F 10 39 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FA,DIA --> LCM: Write coding data, Data="0C 08 13 88 11 03 14 8F 10 39 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00"    [       9                      ]
3F 23 D0 09 0C C4 20 27 15 D6 BD C1 03 23 0F F6 05 53 C1 03 24 08 C6 B4 F7 05 51 7C 05 53 F6 05 51 27 12 7A C2,DIA --> LCM: Write coding data, Data="0C C4 20 27 15 D6 BD C1 03 23 0F F6 05 53 C1 03 24 08 C6 B4 F7 05 51 7C 05 53 F6 05 51 27 12 7A"    [  '  #  S $  Q| S Q' z]
3F 23 D0 09 0D 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C8,DIA --> LCM: Write coding data, Data="0D 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00"    [                                ]
3F 23 D0 09 0D 05 51 CE 04 C4 1D 00 20 CE 04 CD 1C 00 01 5F D7 BD 39 00 00 00 00 00 00 00 00 00 00 00 00 00 B9,DIA --> LCM: Write coding data, Data="0D 05 51 CE 04 C4 1D 00 20 CE 04 CD 1C 00 01 5F D7 BD 39 00 00 00 00 00 00 00 00 00 00 00 00 00"    [  Q        _9             ]
3F 23 D0 09 0E 00 14 73 00 9A 93 5C 5C 56 EC 07 EA 4E 88 88 88 88 71 5E 51 47 3F 36 2F 2F 2F 2F 2F 2F 2F 68 CB,DIA --> LCM: Write coding data, Data="0E 00 14 73 00 9A 93 5C 5C 56 EC 07 EA 4E 88 88 88 88 71 5E 51 47 3F 36 2F 2F 2F 2F 2F 2F 2F 68"    [   s \V Nq^QG?6///////h]
3F 23 D0 09 0F F0 7D FF 00 10 5A 21 3F 02 28 00 00 00 00 00 0C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 CA,DIA --> LCM: Write coding data, Data="0F F0 7D FF 00 10 5A 21 3F 02 28 00 00 00 00 00 0C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00"    [ }  Z!? (                     ]
3F 23 D0 09 0F F0 7D FF 00 10 5A 32 3F 03 28 00 00 00 00 00 1E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 CA,DIA --> LCM: Write coding data, Data="0F F0 7D FF 00 10 5A 32 3F 03 28 00 00 00 00 00 1E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00"    [ }  Z2? (                     ]
3F 23 D0 09 10 7F 7F 7F 7F 7F 7F 8F 8B 85 81 00 00 00 00 00 00 00 12 FF 48 5C 48 5C 48 6E 00 00 00 00 00 00 1E,DIA --> LCM: Write coding data, Data="10 7F 7F 7F 7F 7F 7F 8F 8B 85 81 00 00 00 00 00 00 00 12 FF 48 5C 48 5C 48 6E 00 00 00 00 00 00"    [         HHHn      ]
3F 23 D0 09 11 FE 31 32 00 28 07 D0 00 28 42 68 3B 4C F2 01 05 0A 23 96 0A 0A 24 32 12 00 64 00 00 00 00 00 8A,DIA --> LCM: Write coding data, Data="11 FE 31 32 00 28 07 D0 00 28 42 68 3B 4C F2 01 05 0A 23 96 0A 0A 24 32 12 00 64 00 00 00 00 00"    [ 12 (  (Bh;L   #  $2  d     ]
3F 23 D0 09 11 FE 31 32 00 28 07 D0 00 28 42 68 3B 4C F2 01 05 0A 23 96 0A 0A 24 32 12 FF 64 00 00 00 00 00 75,DIA --> LCM: Write coding data, Data="11 FE 31 32 00 28 07 D0 00 28 42 68 3B 4C F2 01 05 0A 23 96 0A 0A 24 32 12 FF 64 00 00 00 00 00"    [ 12 (  (Bh;L   #  $2 d     ]
3F 23 D0 09 12 B7 6D DB F1 71 00 00 80 FF FF 0F FC C7 FF FF C0 7F 00 FF 0F 1C FF FF FF FF 66 66 66 00 00 00 D7,DIA --> LCM: Write coding data, Data="12 B7 6D DB F1 71 00 00 80 FF FF 0F FC C7 FF FF C0 7F 00 FF 0F 1C FF FF FF FF 66 66 66 00 00 00"    [ mq      fff   ]
3F 23 D0 09 12 B7 6D DB FF 71 00 00 80 FF FF 0F FC C7 FF FF C0 7F 00 FF 0F 1C FF FF FF FF 66 66 66 00 00 00 D9,DIA --> LCM: Write coding data, Data="12 B7 6D DB FF 71 00 00 80 FF FF 0F FC C7 FF FF C0 7F 00 FF 0F 1C FF FF FF FF 66 66 66 00 00 00"    [ mq      fff   ]
3F 23 D0 09 12 B7 6D DB FF 71 1C 00 80 FF FF 0F FC C7 FF FF C7 7F 00 FF 0F 1C FF FF FF FF 66 66 66 00 00 00 C2,DIA --> LCM: Write coding data, Data="12 B7 6D DB FF 71 1C 00 80 FF FF 0F FC C7 FF FF C7 7F 00 FF 0F 1C FF FF FF FF 66 66 66 00 00 00"    [ mq      fff   ]
3F 23 D0 09 12 FF FF FF F1 F1 03 3C 80 1F FF 0F FC C7 0F FC E0 7F 00 FF 0F 1C FF FF FF FF 00 00 00 00 00 00 C3,DIA --> LCM: Write coding data, Data="12 FF FF FF F1 F1 03 3C 80 1F FF 0F FC C7 0F FC E0 7F 00 FF 0F 1C FF FF FF FF 00 00 00 00 00 00"    [  <            ]
3F 23 D0 09 12 FF FF FF FF F1 03 00 80 FF FF 0F FC C7 8F FF F8 7F 00 FF 0F 1C FF FF FF FF 01 23 45 00 00 00 ED,DIA --> LCM: Write coding data, Data="12 FF FF FF FF F1 03 00 80 FF FF 0F FC C7 8F FF F8 7F 00 FF 0F 1C FF FF FF FF 01 23 45 00 00 00"    [        #E   ]
44 03 3F A0 D8,EWS --> DIA: Diagnostic command acknowledged
44 03 80 16 D1,EWS --> IKE: Odometer request
44 05 BF 74 00 03 89,EWS --> GLO: Immobiliser status, No_key_detected Key_3
44 05 BF 74 00 FF 75,EWS --> GLO: Immobiliser status, No_key_detected Vehicle_immobilised
44 05 BF 74 00 FF 75,EWS --> GLO: Immobiliser status: No_key_detected Vehicle_immobilised
44 05 BF 74 01 03 88,EWS --> GLO: Immobiliser status, Immobilisation_deactivated Key_3
44 05 BF 74 01 FF 74,EWS --> GLO: Immobiliser status, Immobilisation_deactivated Vehicle_immobilised
44 05 BF 74 01 FF 74,EWS --> GLO: Immobiliser status: Immobilisation_deactivated Vehicle_immobilised
44 05 BF 74 04 01 8F,EWS --> GLO: Immobiliser status, Valid_key_detected Key_1
44 05 BF 74 04 03 8D,EWS --> GLO: Immobiliser status, Valid_key_detected Key_3
44 05 BF 74 04 04 8A,EWS --> GLO: Immobiliser status: Valid_key_detected Key_4
44 05 BF 74 05 01 8E,EWS --> GLO: Immobiliser status, Immobilisation_deactivated Valid_key_detected Key_1
44 05 BF 74 05 03 8C,EWS --> GLO: Immobiliser status, Immobilisation_deactivated Valid_key_detected Key_3
44 05 BF 74 05 04 8B,EWS --> GLO: Immobiliser status: Immobilisation_deactivated Valid_key_detected Key_4
44 08 3F A0 FC 0A 01 0A 0A 24,EWS --> DIA: Diagnostic command acknowledged, Data="FC 0A 01 0A 0A"    [    ]
44 0F 3F A0 86 90 56 70 03 81 81 07 16 00 06 08 F8,EWS --> DIA: Diagnostic command acknowledged, Data="86 90 56 70 03 81 81 07 16 00 06 08"    [Vp      ]
44 14 3F A0 00 00 04 92 0B 03 00 0E 00 00 00 00 00 1F 00 00 FF BF,EWS --> DIA: Diagnostic command acknowledged, Data="00 00 04 92 0B 03 00 0E 00 00 00 00 00 1F 00 00 FF"    [               ]
44 14 3F A0 01 20 2C A3 57 14 31 05 89 03 09 14 61 06 4B FF FF AD,EWS --> DIA: Diagnostic command acknowledged, Data="01 20 2C A3 57 14 31 05 89 03 09 14 61 06 4B FF FF"    [  ,W 1    a K]
44 14 3F A0 04 5B 53 00 00 39 20 00 0C 90 4D 93 45 14 49 00 10 90,EWS --> DIA: Diagnostic command acknowledged, Data="04 5B 53 00 00 39 20 00 0C 90 4D 93 45 14 49 00 10"    [ [S  9   ME I  ]
44 14 3F A0 05 00 00 83 58 FF FF FF FF FF FF FF FF FF FF FF FF 11,EWS --> DIA: Diagnostic command acknowledged, Data="05 00 00 83 58 FF FF FF FF FF FF FF FF FF FF FF FF"    [   X]
50 03 B0 01 E2,MFL --> SES: Device status request
50 03 C8 01 9A,MFL --> TEL: Device status request
50 03 D0 5D DE,MFL --> LCM: Light dimmer status request
50 04 5B 3A 00 35,MFL --> IHKA: Recirculating air control, AUC_released
50 04 5B 3A 01 34,MFL --> IHKA: Recirculating air control, AUC_pressed
50 04 68 32 10 1E,MFL --> RAD: Volume Control, Decrease 1 step
50 04 68 32 11 1F,MFL --> RAD: Volume Control, Increase 1 step
50 04 68 3B 01 06,MFL --> RAD: Radio/Telephone control, Search_Up_pressed
50 04 68 3B 08 0F,MFL --> RAD: Radio/Telephone control, Search_Down_pressed
50 04 68 3B 21 26,MFL --> RAD: Radio/Telephone control, Search_Up_released
50 04 68 3B 28 2F,MFL --> RAD: Radio/Telephone control, Search_Down_released
50 04 C8 3B 80 27,MFL --> TEL: Radio/Telephone control Send/End_pressed
50 04 C8 3B 80 27,MFL --> TEL: Radio/Telephone control, Send/End_pressed
50 04 C8 3B 90 37,MFL --> TEL: Radio/Telephone control Send/End_pressed_long
50 04 C8 3B A0 07,MFL --> TEL: Radio/Telephone control Send/End_released
50 04 C8 3B A0 07,MFL --> TEL: Radio/Telephone control, Send/End_released
50 04 FF 3B 80 10,MFL --> LOC: Radio/Telephone control Send/End_pressed
5B 03 00 71 29,IHKA --> GM: Rain sensor status
5B 03 3F A0 C7,IHKA --> DIA: Diagnostic command acknowledged
5B 03 3F FF 98,IHKA --> DIA: Diagnostic command not acknowledged
5B 03 80 10 C8,IHKA --> IKE: Ignition status request
5B 03 80 12 CA,IHKA --> IKE: IKE sensor status request
5B 03 80 1D C5,IHKA --> IKE: Temperature request
5B 04 BF 02 00 E2,IHKA --> GLO: Device status ready
5B 04 BF 02 01 E3,IHKA --> GLO: Device status ready, after Reset
5B 04 BF 82 01 63,IHKA --> GLO: Cmd_0x82, Data="01"
5B 04 BF 82 03 61,IHKA --> GLO: Cmd_0x82, Data="03"
5B 04 BF 82 83 E1,IHKA --> GLO: Cmd_0x82, Data="83"
5B 05 80 83 00 00 5D,IHKA --> IKE: Air conditioning compressor status, Off
5B 05 80 83 00 08 55,IHKA --> IKE: Air conditioning compressor status
5B 05 80 83 00 10 4D,IHKA --> IKE: Air conditioning compressor status
5B 05 80 83 00 18 45,IHKA --> IKE: Air conditioning compressor status
5B 05 80 83 00 60 3D,IHKA --> IKE: Air conditioning compressor status
5B 05 80 83 00 70 2D,IHKA --> IKE: Air conditioning compressor status
5B 05 80 83 80 00 DD,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 80 08 D5,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 80 10 CD,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 80 18 C5,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D1 10 9C,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D1 18 94,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D1 20 AC,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D1 28 A4,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D1 30 BC,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D1 38 B4,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D1 40 CC,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D1 48 C4,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D1 50 DC,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D1 60 EC,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D1 70 FC,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D6 58 D3,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D6 60 EB,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D6 68 E3,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D6 70 FB,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D6 78 F3,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D6 88 03,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D6 98 13,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D8 40 C5,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D8 48 CD,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D8 50 D5,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D8 58 DD,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D8 60 E5,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D8 68 ED,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D8 70 F5,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D8 78 FD,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D8 80 05,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D8 88 0D,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D8 90 15,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D8 98 1D,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D8 A0 25,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D8 A8 2D,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D8 B0 35,IHKA --> IKE: Air conditioning compressor status, On
5B 05 80 83 D8 B8 3D,IHKA --> IKE: Air conditioning compressor status, On
68 03 18 01 72,RAD --> CDC: Device status request
68 03 3F FF ABG,RAD --> DIA: Diagnostic command not acknowledged
68 03 6A 01 00,RAD --> DSP: Device status request
68 03 80 14 FF,RAD --> IKE: Country coding status request
68 04 3B 37 44 24,RAD --> GT: Select Menu
68 04 3B 46 01 10,RAD --> GT: LCD clear: No display required
68 04 3B 46 0E 1F,RAD --> GT: LCD clear,: Radio display off: Select menu off: Tone menu off
68 04 6A 32 11 25,RAD --> DSP: Volume Control, Increase 1 step
68 04 6A 32 21 15,RAD --> DSP: Volume Control, Increase 2 steps
68 04 6A 32 31 05,RAD --> DSP: Volume Control, Increase 3 steps
68 04 F0 4A 00 D6,RAD --> BMBT: Cassette control Power_Off
68 04 F0 4A 00 D6,RAD --> BMBT: Cassette control, Power_Off
68 04 F0 4A 48 9E,RAD --> BMBT: Cassette control, State_unknown, Data="48"
68 04 F0 4A 5A 8C,RAD --> BMBT: Cassette control State_unknown, Data="5A"
68 04 F0 4A 90 46,RAD --> BMBT: Cassette control State_unknown, Data="90"
68 04 F0 4A 90 46,RAD --> BMBT: Cassette control, State_unknown, Data="90"
68 04 F0 4A FF 29,RAD --> BMBT: Cassette control, Power_On
68 04 FF 02 00 91,RAD --> LOC: Device status ready
68 04 FF 02 01 90,RAD --> LOC: Device status ready, after Reset
68 04 FF 36 30 95,RAD --> LOC: Audio_control, DSP_Function 0
68 04 FF 36 40 E5,RAD --> LOC: Audio_control, Balance = Center_0
68 04 FF 36 50 F5,RAD --> LOC: Audio_control, Balance = Center_0
68 04 FF 36 66 C3,RAD --> LOC: Audio_control, Bass = +6
68 04 FF 36 68 CD,RAD --> LOC: Audio_control, Bass = +8
68 04 FF 36 6A CF,RAD --> LOC: Audio_control, Bass = +10
68 04 FF 36 6C C9,RAD --> LOC: Audio_control, Bass = +12
68 04 FF 36 80 25,RAD --> LOC: Audio_control, Fader = Center0
68 04 FF 36 A1 04,RAD --> LOC: Audio_control, Source = Tuner/Tape
68 04 FF 36 AF 0A,RAD --> LOC: Audio_control, Source = Off
68 04 FF 36 C2 67,RAD --> LOC: Audio_control, Treble = +2
68 04 FF 36 C8 6D,RAD --> LOC: Audio_control, Treble = +8
68 04 FF 36 CC 69,RAD --> LOC: Audio_control, Treble = +12
68 04 FF 36 E1 44,RAD --> LOC: Audio_control, DSP_Function 1
68 05 18 38 00 00 4D,RAD --> CDC: CD_control Status_Request
68 05 18 38 00 00 4D,RAD --> CDC: CD_control, Status_Request
68 05 18 38 01 00 4C,RAD --> CDC: CD_control, Stop
68 05 18 38 03 00 4E,RAD --> CDC: CD_control, Play
68 05 18 38 04 01 48,RAD --> CDC: CD_control, Fast_Reverse
68 05 18 38 06 02 49,RAD --> CDC: CD_control, Scan
68 05 18 38 06 04 4F,RAD --> CDC: CD_control, Scan
68 05 18 38 06 05 4E,RAD --> CDC: CD_control, Scan
68 05 18 38 06 06 4D,RAD --> CDC: CD_control, Scan
68 05 18 38 07 00 4A,RAD --> CDC: CD_control, Mode7_Function_00
68 05 18 38 07 01 4B,RAD --> CDC: CD_control, Mode7_Function_01
68 05 18 38 0A 00 47,RAD --> CDC: CD_control, Next_Track
68 05 3B 23 00 20 55,RAD --> GT: Display Text, Layout=0x00:  Flags=CLS  F0=
68 05 80 23 40 30 BE,RAD --> IKE: Display Text, Layout=DisplayText  Flags=Bit4,CLS  F0=
68 05 80 23 C0 20 2E,RAD --> IKE: Display Text, Layout=0xC0:  Flags=CLS  F0=
68 05 C0 23 00 20 AE,RAD --> MID: Display Text, Layout=0x00:  Flags=CLS  F0=
68 06 3B 21 00 00 20 54,RAD --> GT: Menu Text, Layout=0x00:  Flags=CLS  F0=
68 06 3B 21 41 00 03 36,RAD --> GT: Menu Text, Layout=0x41:  Flags=  F3=
68 06 3B 21 41 00 06 33,RAD --> GT: Menu Text, Layout=0x41:  Flags=  F6=
68 06 3B 21 41 03 02 34,RAD --> GT: Menu Text, Layout=0x41:  Flags=  F2=
68 06 3B 21 41 03 06 30,RAD --> GT: Menu Text, Layout=0x41:  Flags=  F6=
68 06 3B 21 41 04 02 33,RAD --> GT: Menu Text, Layout=0x41:  Flags=  F2=
68 06 3B 21 41 04 06 37,RAD --> GT: Menu Text, Layout=0x41:  Flags=  F6=
68 06 3B 21 43 00 60 57,RAD --> GT: Menu Text, Layout=0x43:  Flags=CLS,PartTx  F0=
68 06 3B 21 43 02 09 3C,RAD --> GT: Menu Text, Layout=0x43:  Flags=  F9=
68 06 3B 21 43 02 60 55,RAD --> GT: Menu Text, Layout=0x43:  Flags=CLS,PartTx  F0=
68 06 3B 21 43 22 60 75,RAD --> GT: Menu Text, Layout=0x43:  Flags=CLS,PartTx  F0=
68 06 3B 21 43 E0 60 B7,RAD --> GT: Menu Text, Layout=0x43:  Flags=CLS,PartTx  F0=
68 06 C0 21 00 00 20 AF,RAD --> MID: Menu Text, Layout=0x00:  Flags=CLS  F0=
68 07 3B 37 8A 0C 00 10 F5,RAD --> GT: Select Menu
68 08 3F A0 42 00 24 68 99 68,RAD --> DIA: Diagnostic command acknowledged, Data="42 00 24 68 99"    [B $h]
68 08 3F A0 58 00 24 00 48 CB,RAD --> DIA: Diagnostic command acknowledged, Data="58 00 24 00 48"    [X $ H]
68 08 C0 21 00 10 04 20 35 80,RAD --> MID: Menu Text, Layout=0x00:  Flags=  F4=" 5"
68 09 3B 24 40 00 31 32 31 30 3C,RAD --> GT: Update Text, Layout=DisplayText  Flags=  F0="1210"
68 09 3B 24 40 00 31 32 32 30 3F,RAD --> GT: Update Text, Layout=DisplayText  Flags=  F0="1220"
68 09 3B 24 40 00 31 32 33 30 3E,RAD --> GT: Update Text, Layout=DisplayText  Flags=  F0="1230"
68 09 C0 21 00 30 02 20 41 33 E0,RAD --> MID: Menu Text, Layout=0x00:  Flags=  F2=" A3"
68 09 C0 21 00 35 04 2A 41 35 EF,RAD --> MID: Menu Text, Layout=0x00:  Flags=  F4="*A5"
68 0A C0 21 00 33 09 20 52 44 53 DC,RAD --> MID: Menu Text, Layout=0x00:  Flags=  F9=" RDS"
68 0A C0 21 00 33 09 2A 52 44 53 D6,RAD --> MID: Menu Text, Layout=0x00:  Flags=  F9="*RDS"
68 0A C0 24 40 00 20 39 36 2E 37 F0,RAD --> MID: Update Text, Layout=DisplayText  Flags=  F0=" 96.7"
68 0A C0 24 40 00 20 39 36 2E 39 FE,RAD --> MID: Update Text, Layout=DisplayText  Flags=  F0=" 96.9"
68 0A C0 24 40 00 20 39 37 2E 31 F7,RAD --> MID: Update Text, Layout=DisplayText  Flags=  F0=" 97.1"
68 0A C0 24 40 00 20 39 37 2E 33 F5,RAD --> MID: Update Text, Layout=DisplayText  Flags=  F0=" 97.3"
68 0A C0 24 40 00 20 39 37 2E 35 F3,RAD --> MID: Update Text, Layout=DisplayText  Flags=  F0=" 97.5"
68 0A C0 24 40 00 20 39 37 2E 37 F1,RAD --> MID: Update Text, Layout=DisplayText  Flags=  F0=" 97.7"
68 0A C0 24 40 00 20 39 37 2E 39 FF,RAD --> MID: Update Text, Layout=DisplayText  Flags=  F0=" 97.9"
68 0A C0 24 40 00 20 39 38 2E 31 F8,RAD --> MID: Update Text, Layout=DisplayText  Flags=  F0=" 98.1"
68 0A C0 24 40 00 20 39 38 2E 33 FA,RAD --> MID: Update Text, Layout=DisplayText  Flags=  F0=" 98.3"
68 0A C0 24 40 00 20 39 38 2E 35 FC,RAD --> MID: Update Text, Layout=DisplayText  Flags=  F0=" 98.5"
68 0A C0 24 40 00 31 30 35 2E 31 ED,RAD --> MID: Update Text, Layout=DisplayText  Flags=  F0="105.1"
68 0C 3B 23 40 20 20 4E 4F 20 50 54 59 40,RAD --> GT: Display Text, Layout=DisplayText  Flags=CLS  F0=" NO PTY"
68 0D C0 21 00 33 02 2A 41 33 05 41 34 20 BD,RAD --> MID: Menu Text, Layout=0x00:  Flags=  F2="*A3"  F5:"A4 "
68 0D C0 21 00 34 03 41 34 2A 05 20 41 35 BD,RAD --> MID: Menu Text, Layout=0x00:  Flags=  F3="A4*"  F5:" A5"
68 0D C0 21 00 35 03 41 34 20 05 2A 41 35 BC,RAD --> MID: Menu Text, Layout=0x00:  Flags=  F3="A4 "  F5:"*A5"
68 0D C0 23 40 20 20 20 54 4F 50 20 34 30 89,RAD --> MID: Display Text, Layout=DisplayText  Flags=CLS  F0="  TOP 40"
68 0E C0 00 20 00 03 2F 2F 2F 2F 2F 2F 2F 2F 85,RAD --> MID: Cmd_0x00, Data="20 00 03 2F 2F 2F 2F 2F 2F 2F 2F"
68 0E C0 00 20 20 03 2F 2F 2F 2F 2F 2F 2F 2F A5,RAD --> MID: Cmd_0x00, Data="20 20 03 2F 2F 2F 2F 2F 2F 2F 2F"
68 0E C0 21 00 00 00 2F 2F 2F 2F 2F 2F 2F 2F 87,RAD --> MID: Menu Text, Layout=0x00:  Flags=  F0="////////"
68 0E C0 21 00 00 01 2F 2F 2F 2F 2F 2F 2F 2F 86,RAD --> MID: Menu Text, Layout=0x00:  Flags=  F1="////////"
68 0E C0 21 00 00 02 2F 2F 2F 2F 2F 2F 2F 2F 85,RAD --> MID: Menu Text, Layout=0x00:  Flags=  F2="////////"
68 0E C0 21 00 00 03 2F 2F 2F 2F 2F 2F 2F 2F 84,RAD --> MID: Menu Text, Layout=0x00:  Flags=  F3="////////"
68 0E C0 21 00 01 00 2F 2F 2F 2F 2F 2F 2F 2F 86,RAD --> MID: Menu Text, Layout=0x00:  Flags=  F0="////////"
68 0E C0 21 00 15 20 2F 2F 2F 2F 2F 2F 2F 2F B2,RAD --> MID: Menu Text, Layout=0x00:  Flags=CLS  F0="////////"
68 0E C0 21 00 15 60 2F 2F 2F 2F 2F 2F 2F 2F F2,RAD --> MID: Menu Text, Layout=0x00:  Flags=CLS,PartTx  F0="////////"
68 0E C0 21 00 20 03 2F 2F 2F 2F 2F 2F 2F 2F A4,RAD --> MID: Menu Text, Layout=0x00:  Flags=  F3="////////"
68 0E C0 21 20 00 03 2F 2F 2F 2F 2F 2F 2F 2F A4,RAD --> MID: Menu Text, Layout=0x20:  Flags=  F3="////////"
68 0F 3F A0 86 90 27 18 45 00 25 09 07 00 17 42 EA,RAD --> DIA: Diagnostic command acknowledged, Data="86 90 27 18 45 00 25 09 07 00 17 42"    [' E %    B]
68 0F 3F A0 88 37 59 47 42 00 24 09 07 99 17 40 FF,RAD --> DIA: Diagnostic command acknowledged, Data="88 37 59 47 42 00 24 09 07 99 17 40"    [7YGB $   @]
68 10 3B 23 40 20 4E 4F 20 54 41 50 45 20 20 20 20 21,RAD --> GT: Display Text, Layout=DisplayText  Flags=CLS  F0="NO TAPE    "
68 10 C0 23 00 20 2F 2F 2F 2F 2F 2F 2F 2F 2F 2F 2F 94,RAD --> MID: Display Text, Layout=0x00:  Flags=CLS  F0="///////////"
68 10 C0 23 00 20 2F 72 6F 70 68 65 74 73 20 53 54 D4,RAD --> MID: Display Text, Layout=0x00:  Flags=CLS  F0="/rophets ST"
68 10 C0 23 00 20 50 72 6F 70 68 65 74 73 20 53 54 ABG,RAD --> MID: Display Text, Layout=0x00:  Flags=CLS  F0="Prophets ST"
68 10 C0 23 00 40 50 72 6F 70 68 65 74 73 20 53 54 CB,RAD --> MID: Display Text, Layout=0x00:  Flags=PartTx  F0="Prophets ST"
68 10 C0 23 20 20 50 72 6F 70 68 65 74 73 20 53 54 8B,RAD --> MID: Display Text, Layout=0x20:  Flags=CLS  F0="Prophets ST"
68 10 C0 23 40 20 00 72 6F 70 68 65 74 73 20 53 FF 10,RAD --> MID: Display Text, Layout=DisplayText  Flags=CLS  F0=   F0:"rophets S"
68 10 C0 23 40 20 34 34 34 2D 34 34 34 34 20 53 54 C5,RAD --> MID: Display Text, Layout=DisplayText  Flags=CLS  F0="444-4444 ST"
68 10 C0 23 40 20 39 36 52 4F 43 4B 20 20 20 53 54 C6,RAD --> MID: Display Text, Layout=DisplayText  Flags=CLS  F0="96ROCK   ST"
68 10 C0 23 40 20 41 62 6F 75 74 20 41 20 20 53 54 D0,RAD --> MID: Display Text, Layout=DisplayText  Flags=CLS  F0="About A  ST"
68 10 C0 23 40 20 41 74 74 6F 72 6E 65 79 20 53 54 F2,RAD --> MID: Display Text, Layout=DisplayText  Flags=CLS  F0="Attorney ST"
68 10 C0 23 40 20 42 31 30 35 20 20 20 20 20 53 54 AA,RAD --> MID: Display Text, Layout=DisplayText  Flags=CLS  F0="B105     ST"
68 10 C0 23 40 20 42 61 6C 6C 65 72 69 6E 20 53 54 EF,RAD --> MID: Display Text, Layout=DisplayText  Flags=CLS  F0="Ballerin ST"
68 10 C0 23 40 20 42 61 6E 64 20 20 20 20 20 53 54 F5,RAD --> MID: Display Text, Layout=DisplayText  Flags=CLS  F0="Band     ST"
68 10 C0 23 40 20 42 65 61 63 68 20 20 20 20 53 54 B1,RAD --> MID: Display Text, Layout=DisplayText  Flags=CLS  F0="Beach    ST"
68 10 C0 23 40 20 42 65 6E 74 6C 65 79 20 20 53 54 B1,RAD --> MID: Display Text, Layout=DisplayText  Flags=CLS  F0="Bentley  ST"
